fragment,category,weight,subcat
WOLVERINEWORLDWIDE,"Birthdays, Christmas, Gifts, Parties",1,
Microsoft*Store,"Birthdays, Christmas, Gifts, Parties",1,
Microsoft Store,"Birthdays, Christmas, Gifts, Parties",1,
PAPELARIA ALMEIDA,"Birthdays, Christmas, Gifts, Parties",1,
PATINHAS  CALDA,"Birthdays, Christmas, Gifts, Parties",1,
QUINTA SENHORA DO AR,"Birthdays, Christmas, Gifts, Parties",1,
ALIEXPRESS.COM,Bicycle Maintenance,1,
Claire,Kids Clothing and Baby Gear,1,
HM Leiria,Kids Clothing and Baby Gear,1,
HM PT0312,Kids Clothing and Baby Gear,1,
C  A MODAS,Kids Clothing and Baby Gear,1,
SPORT ZONE,Kids Clothing and Baby Gear,1,
SALSA LEIRIA,"Hella Clothing, Shoes, Accessories",1,
LEIRIASHOPPING,"Hella Clothing, Shoes, Accessories",1,
OYSHO,"Hella Clothing, Shoes, Accessories",1,
ANTHRAX SPORTWEAR,"Hella Clothing, Shoes, Accessories",1,
ORIVESARIA,"Hella Clothing, Shoes, Accessories",1,
Biju Ericeira,"Hella Clothing, Shoes, Accessories",1,
SPORTINO,"Hella Clothing, Shoes, Accessories",1,
PARFOIS,"Hella Clothing, Shoes, Accessories",1,
MOVE DANCE,"Hella Clothing, Shoes, Accessories",1,
Stradivarius,"Hella Clothing, Shoes, Accessories",1,
BILLABONG,"Hella Clothing, Shoes, Accessories",1,
WOMEN SECRET,"Hella Clothing, Shoes, Accessories",1,
MARIA PANO,"Hella Clothing, Shoes, Accessories",1,
GLOBO VERMELHO,"Hella Clothing, Shoes, Accessories",1,
SP VOXY,"Hella Clothing, Shoes, Accessories",1,
MANGO LISBOA,"Chris Clothing, Shoes, & Accessories",1,
VANS COLOMBO,"Chris Clothing, Shoes, & Accessories",1,
LISBON COLOMBO J3PO,"Chris Clothing, Shoes, & Accessories",1,
UNIQLO,"Chris Clothing, Shoes, & Accessories",1,
NIKE,"Chris Clothing, Shoes, & Accessories",1,
HM PT0301 Lisboa PT,"Chris Clothing, Shoes, & Accessories",1,
MACMILLAN CANCER,Charity/Activist Contributions,1,
CHUFFED.OR,Charity/Activist Contributions,1,
ACT*time to,Charity/Activist Contributions,1,
DONORSCHOOSE,Charity/Activist Contributions,1,
TRE MB WAY P/ *****6234,"Children's Enrichment Classes",1,J Santos
**6ยง234,"Children's Enrichment Classes",1,J Santos
PELICANO RADIANTE,"Children's Enrichment Classes",1,quinta de salir
QUINTAS,"Children's Enrichment Classes",1,quinta de salir
Respostas Invisiveis,"Children's Enrichment Classes",1,J Santos
TRF MB WAY P/ *****7470,"Children's Enrichment Classes",1,Ceramica
BALANCE HEALTH,Fitness & Health Hacking,1,Balance
CHATGPT,Media Subscriptions,1,
404 MEDIA,Media Subscriptions,1,
HBO Nordic,Media Subscriptions,1,
RAJ PHONE SHOP CALDAS,GADGETS,1,
TECNO LOGIC,GADGETS,1,
INFOMAIS,GADGETS,1,
WWW.DJI.COM,GADGETS,1,
DROPBOX,GADGETS,1,
Pobox,GADGETS,1,
iRepair AE GLYFADA GR,GADGETS,1,
FASTMAIL,GADGETS,1,
LASTPASS.COM,GADGETS,1,
RADIO POPULAR,GADGETS,1,
CHAVIARAS STEFANOS,Hella Travel,1,
ATTRATTIVO_ERMOU,Hella Travel,1,
KOSTARELOU,Hella Travel,1,
SPATA GR,Hella Travel,1,
KALLITHEA GR,Hella Travel,1,
BOLT.EUO2508282154,Hella Travel,1,
BOLT.EUO2503122331,Hella Travel,1,
SWEETIES,Hella Travel,1,
YESIM,Hella Travel,1,
FERRYHOPPER,Hella Travel,1,
EVERYPAY*SKROUTZ,Hella Travel,1,
FLYTAP.COM  0014257597,Hella Travel,1,
MACHADO   HIGINO LDA,Hella Travel,1,
UNITED      0162480697788,Hella Travel,1,
GP MUSEE PICASSO2335676,Hella Travel,1,
STUDIO HARMONIC,Hella Travel,1,
ARTEUM SERVICES,Hella Travel,1,
PIERRE HERME,Hella Travel,1,
C POMPIDOU VEL  2359780,Hella Travel,1,
FAME            9260563,Hella Travel,1,
EASYPAY LISBOA,Hella Travel,1,
EASYJET AIR K8JNQZ8,Hella Travel,1,
HALIOTIS,Chris Travel,1,
LAGINHA INVESTIM CV,Chris Travel,1,
AIRBNB * HME22PMMAF,Chris Travel,1,
AMALIE CAR RENTAL,Chris Travel,1,
BOTTLE KING LIVINGSTON,Chris Travel,1,
SQ *AIRPORT TAXI,Chris Travel,1,
TAP AIRLINE 0470014775400,Chris Travel,1,
TAP AIR     0000016006572,Chris Travel,1,
IATI SEGUROS,Chris Travel,1,
TAP AIR     0000013069340,Chris Travel,1,
ATM 6519,Chris Cash Spending,1,
ATM 7455,Chris Cash Spending,1,
RECTIFICACAO,Fraud,1,
VISS745 COMPRA 745uUSD,Fraud,1,
bodsshop.com,Fraud,1,
Lev ATw 0885,Hella Cash Spending,1,
ROM LISBOA,transit,0,
COMBOIOS,transit,0,
Rede Expressos,transit,0,
Flix,transit,0,
TRANSTEJO,transit,0,
Josepha Ling Barrett,Rent,0,
CIDADE LOGICA,Rent,0,
Colegio rainha,School Tuition and Fees,0,
DDPT16103627,School Tuition and Fees,0,
Bruno Afonso,Legal & Administrative Fees,0,
WIRED FUNDS FEE,Legal & Administrative Fees,0,
IMPOSTO DE SELO,Legal & Administrative Fees,0,
Annual Membership Fee,Legal & Administrative Fees,0,
COMISSAO TRF MBWAY,Legal & Administrative Fees,0,
SAUDE ORAL,Dental,0,
DDPT91100919OCS00254458645 DI78637755,Health Insurance Premiums,0,
Bonita trimeloni,Car/Gas/Tolls/Parking/repair,0,
VARANDAS E ALMEIDA,Car/Gas/Tolls/Parking/repair,0,Repair
PETROALVES,Car/Gas/Tolls/Parking/repair,0,Gas
PARQUE ESTACION,Car/Gas/Tolls/Parking/repair,0,
SERVICO CEPSA,Car/Gas/Tolls/Parking/repair,0,Gas
CA E RA,Car/Gas/Tolls/Parking/repair,0,Repair
EST SERVICO PRIO,Car/Gas/Tolls/Parking/repair,0,Gas
DDPT91100919OCS00254663509 AU83469628,Car/Gas/Tolls/Parking/repair,0,
EMES N7,Car/Gas/Tolls/Parking/repair,0,
M COUTINHO OESTE,Car/Gas/Tolls/Parking/repair,0,Repair
DD OCIDENTAL AUTOMVEL,Car/Gas/Tolls/Parking/repair,0,Insurance
REEMBOLSOS   IRS,Income Taxes,0,
158370002152428,Income Taxes,0,
TRANSFERENCIA P/O EDP,Electric,0,
PAG.xxxx8947 - MEO/TMN,Google Fi + Cell phone,0,Meo
VODAFO,Google Fi + Cell phone,0,
CLINICA ESTEVAO,Medical + Birth,0,
DRA MAFALDA JOANA SILVA FIGUEIRED,Medical + Birth,0,
CLINICA PEDIATRICA,Medical + Birth,0,
BRANCO LISBOA,Medical + Birth,0,Pharmacy
CLINICA CUF,Medical + Birth,0,
AGEAS PORTUGAL,Medical + Birth,0,
LABETO,Medical + Birth,0,
POSTO RZ CALDAS,Medical + Birth,0,
Opticas,Medical + Birth,0,Glasses/Contacts
Discountglasses,Medical + Birth,0,Glasses/Contacts
Mario Albuquerque,Medical + Birth,0,
Oarrx.com,Medical + Birth,0,Pharmacy
"DD PT73101243 MEO, SA         42473235217",Internet,0,
PT73101243 MEO,Internet,0,
DD MEO,Internet,0,
Zumub,Groceries,0,
TALHO JARDIM,Groceries,0,
SPAR CALDAS,Groceries,0,
TRF P/ LISA FRANCINE OSBORNE,Groceries,0,COSTCO
ELECLERC,Groceries,0,LECLERK
ALDI CALDAS,Groceries,0,
ALDI PENICHE,Groceries,0,
HIPERDINO,Groceries,0,
SODIRAINHA,Groceries,0,
BAZAAR AE KOLONAKI,Groceries,0,
ROCKY S CALDAS,Chris's Lunches/Fast Food,0,
TELEPIZZA,Chris's Lunches/Fast Food,0,
ACAI NATURA ALMANCIL,Chris's Lunches/Fast Food,0,
ALIBABA,Chris's Lunches/Fast Food,0,
AREAS PORTUGAL SA AEROP,Chris's Lunches/Fast Food,0,
JARDINES DE SITIO,Chris's Lunches/Fast Food,0,
NEWREST,Chris's Lunches/Fast Food,0,
INDIANO HOT SABOR CALDA,Chris's Lunches/Fast Food,0,
BIFANAS VENDAS,Chris's Lunches/Fast Food,0,
GONCALO JORGE SANTOSEVO,Chris's Lunches/Fast Food,0,
SAFFLOR,Restaurants/Dinner Take Out,0,
FUNKY,Restaurants/Dinner Take Out,0,
KABUKI,Restaurants/Dinner Take Out,0,
INFUSION,Restaurants/Dinner Take Out,0,
MOMENTOS NO BASTIDORFIG,Restaurants/Dinner Take Out,0,
XANECA,Restaurants/Dinner Take Out,0,
CITRUS CALDAS,Restaurants/Dinner Take Out,0,
COCOS VEGGIE,Restaurants/Dinner Take Out,0,
PACHA CALDAS,Restaurants/Dinner Take Out,0,
CAIS DO PARQUE,Restaurants/Dinner Take Out,0,
RESTAURANTE GRANADA,Restaurants/Dinner Take Out,0,
ONDAS BAR TAVERNA,Restaurants/Dinner Take Out,0,
SANTANA TAPAS,Restaurants/Dinner Take Out,0,
CALHETA GREEN REST,Restaurants/Dinner Take Out,0,
CAIS DA PRAIA,Restaurants/Dinner Take Out,0,
EL CHILITO FERREL,Restaurants/Dinner Take Out,0,
MARATONA,Restaurants/Dinner Take Out,0,
ANGELA PRETO,Restaurants/Dinner Take Out,0,
SANA SILVER COAST,Restaurants/Dinner Take Out,0,
SABORES D,Restaurants/Dinner Take Out,0,
SANTA FRANCESINH,Restaurants/Dinner Take Out,0,
SNACK BAR ESCORPIAO,Restaurants/Dinner Take Out,0,
STREET KITCHEN MOSCAVID,Restaurants/Dinner Take Out,0,
BICA DA LAGOA,Restaurants/Dinner Take Out,0,
LOCAL CAFE,Restaurants/Dinner Take Out,0,
CASA GUEDES S LAZARO,Restaurants/Dinner Take Out,0,
CAFE CENTRAL,Restaurants/Dinner Take Out,0,
100 PRATUS PRAIA AREIA BRANCA,Restaurants/Dinner Take Out,0,
ANTONIO PADEIRO,Restaurants/Dinner Take Out,0,
GEO 2500-860,Restaurants/Dinner Take Out,0,
THE SNUG OLD TOWN,Restaurants/Dinner Take Out,0,
TERRA 9000-073 FUNCHAL,Restaurants/Dinner Take Out,0,
ANTONIO PADEIRO,Restaurants/Dinner Take Out,0,
GENGIBROFERTA,Restaurants/Dinner Take Out,0,
JAEL E MARTINS LDA PENICHE,Restaurants/Dinner Take Out,0,
VICENTE BEACH CLUB,Restaurants/Dinner Take Out,0,
APH CALDAS RAINHA,Restaurants/Dinner Take Out,0,
NEW DILHI REST,Restaurants/Dinner Take Out,0,
ALTA RESTAURANTE,Restaurants/Dinner Take Out,0,
CAPEZIO,Hella's Hobbies and Sports,0,
BALLETSHOP,Hella's Hobbies and Sports,0,
RUNKD,Hella's Hobbies and Sports,0,
MOMO SWEETSETEA,Hella's Lunches/Fast Food,0,
BITESEBITAITES,Hella's Lunches/Fast Food,0,
KFC AEROPORTO,Hella's Lunches/Fast Food,0,
CASA GIL,Hella's Lunches/Fast Food,0,
TESOUROS E LATITUDESCAL,Hella's Lunches/Fast Food,0,
TERTULIA HAMBUERGER VILA FRANCA,Hella's Lunches/Fast Food,0,
TAPA ROMAIKI AGORA,Hella's Lunches/Fast Food,0,
COCKPIT,Hella's Lunches/Fast Food,0,
WHSMITH N1804,Hella's Lunches/Fast Food,0,
THE ART OF PASTRY,Hella's Lunches/Fast Food,0,
QUIOSQUE DO CAIS,Hella's Lunches/Fast Food,0,
TRF MB WAY P/ *****6424,Hella's Lunches/Fast Food,0,
SABORES EXCENTRICOS,Hella's Lunches/Fast Food,0,
BELAMAMIAS CALDAS,Hella's Lunches/Fast Food,0,
MC DONALDS,Hella's Lunches/Fast Food,0,
EST SERVICO EKO MPIKAS,Hella's Lunches/Fast Food,0,
HOMY THE BREAD,Hella's Lunches/Fast Food,0,
REAL CASA DO PASTEL,Hella's Lunches/Fast Food,0,
OLEG GAEIRAS,Hella's Lunches/Fast Food,0,
IGKOU REPOUSI ANNA KERAMEIKOY,Hellas Podcast,0,
DUTY FREE SPATON,Hellas Podcast,0,
Papaki,Hellas Podcast,0,
COMPLEXO MUNICIPA,Chris Hobbies,0,Court Fees
CLUBE DE TENIS,Chris Hobbies,0,Court Fees
SHORT.IO,Chris Hobbies,0,
SHANSHAN,Chris Hobbies,0,Court Fees
xxxCOMISSAO TRF MBWAY 175.00,Chris Hobbies,0,
xxxCOMISSAO TRF MBWAY 150.00,Chris Hobbies,0,
xxxCOMISSAO TRF MBWAY 180.00,Chris Hobbies,0,
xxxCOMISSAO TRF MBWAY 65.00,Chris Hobbies,0,
xxTRF MBWAY 15.00,Chris Hobbies,0,
TRF MB WAY P/ *****9927,Chris Hobbies,0,
J.O.M.,Caldas home wares etc,0,
BRICOMARCHE,Caldas home wares etc,0,
SIMPLE HOME LDA,Caldas home wares etc,0,
VIVA CALDA,Caldas home wares etc,0,
MAX MAT,Caldas home wares etc,0,
Williams,Caldas home wares etc,0,
WILLIAMS,Caldas home wares etc,0,
CASA VARELA,Caldas home wares etc,0,
PAULO FIGUEIRAS,Caldas home wares etc,0,
QINGYI ZHANG,Caldas home wares etc,0,
BORRIFOS,Caldas home wares etc,0,
SHUANGJIE,Caldas home wares etc,0,
TAKITUDO,Caldas home wares etc,0,
STAPLES PORTUGAL,Caldas home wares etc,0,
MB WAY P/ *****2711,Caldas home wares etc,0,
SEF GOLF 1-BARCARENA,Portugal Relocation Project,0,
DRMT CENTRO COIMBRA,Portugal Relocation Project,0,
DDV - LEIRIA LEIRIA,Portugal Relocation Project,0,
Dgav,Portugal Relocation Project,0,
MB WAY P/ *****9821,Lessons & Learning,0,
xxxxCOMISSAO TRF MBWAY 32.00,Lessons & Learning,0,
xxxxCOMISSAO TRF MBWAY 24.00,Lessons & Learning,0,
xxxxCOMISSAO TRF MBWAY 12.00,Lessons & Learning,0,
MB WAY P/ *****4493,Lessons & Learning,0,IRIS
KLINICA PERIO,Hella's yarn and crafts,0,
TRACA TRAPOS CALDAS,Hella's yarn and crafts,0,
BILHETEIRA CASTELO,Family Entertainment,0,
DINO PARQUE,Family Entertainment,0,
BRINCAR,Family Entertainment,0,
Lawrence Hall Sci,Family Entertainment,0,
Liberty Science,Family Entertainment,0,
ZOO SANTO INACIO,Family Entertainment,0,
PAVILHAO CONHLIS,Family Entertainment,0,
PARQUES DE SINTRA,Family Entertainment,0,
Slidesplash,Family Entertainment,0,
IGESPAR MOSTEIRO,Family Entertainment,0,
JARDIM MONTE PALACE,Family Entertainment,0,
OBIDOS CRIATIVA,Family Entertainment,0,
TOMAZ DO DOURO,Family Entertainment,0,
CIENCIA VIVA,Family Entertainment,0,
TATIANA MARCHENKO,Family Entertainment,0,
PAPA ZOO LISBOA,Family Entertainment,0,
BUDDHA EDEN,Family Entertainment,0,
BACALHOA ENOTURISMO,Family Entertainment,0,
CONFORTARROJADO,Family Entertainment,0,
BOWLING,Family Entertainment,0,
OBIDOS VILA NATAL,Family Entertainment,0,
Patricia Sue Danner,Family Vacations,0,
QUEIMADO COXIXO,Family Vacations,0,
Pestana Viking,Family Vacations,0,
PORCHINHOS,Family Vacations,0,
SALAMA,Family Vacations,0,SALAMANCA
JetBlue,Family Vacations,0,
Libro Audiobooks,"Books, mostly hella",0,
FNAC.PT,"Books, mostly hella",0,
Porto Editora,"Books, mostly hella",0,
BOOKSTORE,"Books, mostly hella",0,
FNAC LEIRIA,"Books, mostly hella",0,
FNAC PORTUGAL,"Books, mostly hella",0,
ATELIER DO DOCE,"Birthdays, Christmas, Gifts, Parties",0,
PIZZARIA SAO MARTINHS,"Birthdays, Christmas, Gifts, Parties",0,
MARAVILHAS,"Birthdays, Christmas, Gifts, Parties",0,
TIGER LA VIE,"Birthdays, Christmas, Gifts, Parties",0,
ATELIER DO DOCE,"Birthdays, Christmas, Gifts, Parties",0,
HM GIFTS,"Birthdays, Christmas, Gifts, Parties",0,
MISTERIUS,"Birthdays, Christmas, Gifts, Parties",0,
ROBLOX,"Birthdays, Christmas, Gifts, Parties",0,
FLYING TIGER,"Birthdays, Christmas, Gifts, Parties",0,
BC-BRINQUEDO,"Birthdays, Christmas, Gifts, Parties",0,
MANAPULA,"Birthdays, Christmas, Gifts, Parties",0,
ARTIGOCAL,"Birthdays, Christmas, Gifts, Parties",0,
CARROCEL DE NUVENS,"Birthdays, Christmas, Gifts, Parties",0,
GRATITUDE,"Birthdays, Christmas, Gifts, Parties",0,
SEASIDE,"Birthdays, Christmas, Gifts, Parties",0,
PAPELARIA VOGA,"Birthdays, Christmas, Gifts, Parties",0,
LEGO C,"Birthdays, Christmas, Gifts, Parties",0,
TIGER CHIADO,"Birthdays, Christmas, Gifts, Parties",0,
MUJI CHIADO,"Birthdays, Christmas, Gifts, Parties",0,
ESTADO LIQUIDO,"Birthdays, Christmas, Gifts, Parties",0,
MB WAY DE  JOSEPHINE PHILIPPE,"Birthdays, Christmas, Gifts, Parties",0,
MB WAY DE  LUCIANA AIRES,"Birthdays, Christmas, Gifts, Parties",0,
GRUPETO BIKE SHOP,Bicycle Maintenance,0,
ZIPPY,Kids Clothing and Baby Gear,0,
C A MODAS LISBOA,Kids Clothing and Baby Gear,0,
ZARA KIDDY,Kids Clothing and Baby Gear,0,
HM Via Catarina,Kids Clothing and Baby Gear,0,
HM Loures,Kids Clothing and Baby Gear,0,
TOGETHER,Kids Clothing and Baby Gear,0,
BBL CALDAS,Kids Clothing and Baby Gear,0,
SAPATARIA,"Hella Clothing, Shoes, Accessories",0,
MANGO-CALDAS,"Hella Clothing, Shoes, Accessories",0,
ALDO LEIRIA,"Hella Clothing, Shoes, Accessories",0,
QUEBRAMAR,"Hella Clothing, Shoes, Accessories",0,
CEA LEIRIAS,"Hella Clothing, Shoes, Accessories",0,
YOU GET,"Hella Clothing, Shoes, Accessories",0,
PULL BEAR,"Hella Clothing, Shoes, Accessories",0,
STRADIVARIUS,"Hella Clothing, Shoes, Accessories",0,
ZARA LOURES,"Hella Clothing, Shoes, Accessories",0,
ZARA PORTUGAL LISBOA,"Hella Clothing, Shoes, Accessories",0,
C A MODAS LOURES,"Hella Clothing, Shoes, Accessories",0,
BERSHKA,"Hella Clothing, Shoes, Accessories",0,
CALZEDONIA,"Hella Clothing, Shoes, Accessories",0,
Hennes E Mauritz Lda Lisboa,"Hella Clothing, Shoes, Accessories",0,
RECICALDAS,"Hella Clothing, Shoes, Accessories",0,
ALACETALECRIM,"Hella Clothing, Shoes, Accessories",0,
VEIN LA VIE,"Hella Clothing, Shoes, Accessories",0,
CASA DAS PELES,"Hella Clothing, Shoes, Accessories",0,
BSTRONG,"Hella Clothing, Shoes, Accessories",0,
VILANOVA - LA VIE,"Hella Clothing, Shoes, Accessories",0,
TIFFOSI,"Hella Clothing, Shoes, Accessories",0,
CONFORTARROJADO,"Hella Clothing, Shoes, Accessories",0,
MUJI FAUBOURG ST.ANTOI,"Hella Clothing, Shoes, Accessories",0,
SPDAD - Sociedade Portugu,"Hella Clothing, Shoes, Accessories",0,
Carecondition,Mani-Pedi-Pele,0,
BODY CONCEPT,Mani-Pedi-Pele,0,
TRF MB WAY P/ *****6784,"Chris Clothing, Shoes, & Accessories",0,
RIP CURL,"Chris Clothing, Shoes, & Accessories",0,
MANGO BARNA PORTAL,"Chris Clothing, Shoes, & Accessories",0,
Uniqlo Europe,"Chris Clothing, Shoes, & Accessories",0,
ECCO PORTO,"Chris Clothing, Shoes, & Accessories",0,
MUJI,"Chris Clothing, Shoes, & Accessories",0,
MUJI CHIADO Lisbon,"Chris Clothing, Shoes, & Accessories",0,
Silver Coast Volunteers,Charity/Activist Contributions,0,
Associacao MVC,Charity/Activist Contributions,0,
Patreon,Charity/Activist Contributions,0,
Wikimedia,Charity/Activist Contributions,0,
CLIN VET,Pets,0,
VETERINARIA,Pets,0,
*****6763,Pets,0,
TRF MB WAY P/ *****4952,"Children's Enrichment Classes",0,
Associacao pelicano radiante,"Children's Enrichment Classes",0,quinta de salir
Pelicano Radiante Associacao,"Children's Enrichment Classes",0,quinta de salir
Ines Carvalho,"Children's Enrichment Classes",0,
TRF MB WAY P/ *****5473,"Children's Enrichment Classes",0,
OXYGYM,Fitness & Health Hacking,0,
MEDIOESTE,Media Subscriptions,0,
Max.com,Media Subscriptions,0,HBO Max
Netflix,Media Subscriptions,0,Netflix
Dropbox,GADGETS,0,
WORTEN,GADGETS,0,
TAXIS ARISTIDES,"Uber, Lyft, Cabs, Car2Go, Public Transit, Bikeshare ",0,
 ATHENS,Hella Travel,0,
 ATHINA,Hella Travel,0,
Freenow Raauz,Hella Travel,0,
DUTY FREE SHOPS SPATA,Hella Travel,0,
SPATA,Hella Travel,0,
ATHINA,Hella Travel,0,
Aegean,Hella Travel,0,
SKROUTZ,Hella Travel,0,
OPERAPARISSXAUTO2382806,Hella Travel,0,
LYFT *RIDE TUE 3AM,Chris Travel,0,
Teide Divers,Chris Travel,0,
7455 Gate Gourmet Glattbrugg,Chris Travel,0,
BARCELO,Chris Travel,0,
Barcelona,Chris Travel,0,
BADALONA,Chris Travel,0,
SAGRADA,Chris Travel,0,
MONTJUIC,Chris Travel,0,
POLICIA NACIONAL,Chris Travel,0,
AMERICAN AIR,Chris Travel,0,
LEV ATM 2860,Chris Cash Spending,0,
LEV ATM 7455,Chris Cash Spending,0,
Transfer : Chris's Cash,Chris Cash Spending,0,
Cleaning Clara,House Cleaning,0,
LEV ATM 6253,Hella Cash Spending,0,
Transfer : Hella's Cash,Hella Cash Spending,0,
ATM 9496,Hella Cash Spending,0,
